Rank,Grant ID,Grant Number,Title,Title translated,Abstract,Abstract translated,Funding Amount,Currency,Funding Amount in AUD,Start Date,Start Year,End Date,End Year,Researchers,Research Organization - original,Research Organization - standardized,GRID ID,City of Research organization,State of Research organization,Country of Research organization,Funder,Funder Group,Funder Country,Resulting publications,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,RCDC Categories,HRCS HC Categories,HRCS RAC Categories,ICRP Cancer Types,ICRP CSO Categories,Units of Assessment,Sustainable Development Goals
12,grant.9335019,GA107812,Innovation Connections,Innovation Connections,Innovation Connections promotes collaboration between small and medium sized Australian businesses and the research sector to develop new ideas with commercial potential.,Innovation Connections promotes collaboration between small and medium sized Australian businesses and the research sector to develop new ideas with commercial potential.,50000,AUD,50000,11/08/2020,2020,18/03/2021,2021,,University of Technology Sydney,University of Technology Sydney,grid.117476.2,Sydney,New South Wales,Australia,"Department of Industry, Science, Energy and Resources",,Australia,,https://www.grants.gov.au/?event=public.GA.show&GAUUID=CDF1DD11-C317-0241-F1C37A409508EED5,https://app.dimensions.ai/details/grant/grant.9335019,,,,,,,,
3,grant.9342422,EP/T022574/1,Future Places: A Digital Economy Centre on Understanding Place Through Pervasive Computing,Future Places: A Digital Economy Centre on Understanding Place Through Pervasive Computing,"The Future Places Centre will explore how ubiquitous and pervasive technologies, the IoT, and new data science tools can let people reimagine what their future spaces might be. Today, the footprint of such systems extends well beyond the work environments where they first showed themselves and are now, quite literally, ubiquitous. Combined with advances in data science, particularly in the general area of AI, these are enabling entirely new forms of applications and expanding our understanding of how we can shape our physical spaces. The result of these trends is that the potential impact of these systems is no longer confined to work settings or the scientific imagination; it points towards all contexts in which the relationship between space and human practice might be altered through digitally-enabled comprehension of the worlds we inhabit. 

Such change necessitates enriching the public imagination about what future places might be and how they might be understood. In particular, it points towards new ways of using pervasive technologies (such as the IoT), to shape healthy, sustainable living through the creation of appropriate places. To paraphrase Churchill: if he said we make our buildings, and our buildings come to shape us, the Future Places centre starts from the premise that new understanding of places (enabled by pervasive computing, data science and AI tools), can be combined with a public concern for sustainability and the environment to help shape healthier places and thus make healthier people. 

It is thus the goal of the centre to reimagine and develop further Mark Weiser's original vision of ubiquitous computing. As it does this so it will cohere Lancaster's pioneering DE projects and create a world-class interdisciplinary research endeavour that binds Lancaster to the local community, to industry and government, making the North West a test-bed for what might be.","The Future Places Centre will explore how ubiquitous and pervasive technologies, the IoT, and new data science tools can let people reimagine what their future spaces might be. Today, the footprint of such systems extends well beyond the work environments where they first showed themselves and are now, quite literally, ubiquitous. Combined with advances in data science, particularly in the general area of AI, these are enabling entirely new forms of applications and expanding our understanding of how we can shape our physical spaces. The result of these trends is that the potential impact of these systems is no longer confined to work settings or the scientific imagination; it points towards all contexts in which the relationship between space and human practice might be altered through digitally-enabled comprehension of the worlds we inhabit. 

Such change necessitates enriching the public imagination about what future places might be and how they might be understood. In particular, it points towards new ways of using pervasive technologies (such as the IoT), to shape healthy, sustainable living through the creation of appropriate places. To paraphrase Churchill: if he said we make our buildings, and our buildings come to shape us, the Future Places centre starts from the premise that new understanding of places (enabled by pervasive computing, data science and AI tools), can be combined with a public concern for sustainability and the environment to help shape healthier places and thus make healthier people. 

It is thus the goal of the centre to reimagine and develop further Mark Weiser's original vision of ubiquitous computing. As it does this so it will cohere Lancaster's pioneering DE projects and create a world-class interdisciplinary research endeavour that binds Lancaster to the local community, to industry and government, making the North West a test-bed for what might be.",2931664,GBP,5549346,31/07/2020,2020,30/07/2025,2025,Richard Harry Robert Harper; Leon Cruickshank; Rachel Cooper OBE; Paul Coulton; David Leslie; Mike Hazas; Adrian Friday; Nigel Davies; Bran Knowles; Corina Sas; Robert David Short; Gordon Blair; Steven Houben; Jo Knight; Charles Edward Gere; Nicholas Race; Amber Alexandra Leeson,Lancaster University,"Lancaster University; Public Health England; Microsoft Research (United Kingdom); University of Sydney; Eden Project; Royal Society for the Protection of Birds; Blackpool and The Fylde College; University of Melbourne; University of Technology Sydney; Bristol City Council; University of Lisbon; University of California, Santa Cruz; Samsung (United Kingdom); Lancashire County Council; Lancaster City Council",grid.9835.7; grid.271308.f; grid.24488.32; grid.1013.3; grid.434307.7; grid.421630.2; grid.462095.c; grid.1008.9; grid.117476.2; grid.33692.3d; grid.9983.b; grid.205975.c; grid.437715.3; grid.436084.d; grid.436086.f,Lancaster; London; Cambridge; Sydney; St Austell; Sandy; Blackpool; Melbourne; Sydney; Bristol; Lisbon; Santa Cruz; Chertsey; Preston; Lancaster,Lancashire; ; ; New South Wales; ; ; ; Victoria; New South Wales; ; Lisboa; California; ; ; ,United Kingdom; United Kingdom; United Kingdom; Australia; United Kingdom; United Kingdom; United Kingdom; Australia; Australia; United Kingdom; Portugal; United States; United Kingdom; United Kingdom; United Kingdom,Engineering and Physical Sciences Research Council,cOAlition S; UKRI,United Kingdom,,https://gtr.ukri.org/project/46793E77-A986-4B6E-BE2C-A586CE455210,https://app.dimensions.ai/details/grant/grant.9342422,1608 Sociology; 16 Studies in Human Society,,Generic Health Relevance,,,,"C13 Architecture, Built Environment and Planning",
12,grant.9334982,GA106335,Innovation Connections,Innovation Connections,Innovation Connections promotes collaboration between small and medium sized Australian businesses and the research sector to develop new ideas with commercial potential.,Innovation Connections promotes collaboration between small and medium sized Australian businesses and the research sector to develop new ideas with commercial potential.,49961,AUD,49961,29/07/2020,2020,29/08/2021,2021,,University of Technology Sydney,University of Technology Sydney,grid.117476.2,Sydney,New South Wales,Australia,"Department of Industry, Science, Energy and Resources",,Australia,,https://www.grants.gov.au/?event=public.GA.show&GAUUID=FB1F76A2-02B9-7CDD-765C6FB24B883E5D,https://app.dimensions.ai/details/grant/grant.9334982,,,,,,,,
12,grant.9335078,GA102863,Innovation Connections,Innovation Connections,Innovation Connections promotes collaboration between small and medium sized Australian businesses and the research sector to develop new ideas with commercial potential.,Innovation Connections promotes collaboration between small and medium sized Australian businesses and the research sector to develop new ideas with commercial potential.,49992,AUD,49992,23/07/2020,2020,4/03/2021,2021,,University of Technology Sydney,University of Technology Sydney,grid.117476.2,Sydney,New South Wales,Australia,"Department of Industry, Science, Energy and Resources",,Australia,,https://www.grants.gov.au/?event=public.GA.show&GAUUID=FCBC3458-B6DA-7471-22536B1EACC301BA,https://app.dimensions.ai/details/grant/grant.9335078,,,,,,,,
6,grant.8854001,gc17002,DIY laneway greening – simplifying vertical greening at a community level (GC17002),DIY laneway greening – simplifying vertical greening at a community level (GC17002),"This Hort Frontiers Green Cities Fund investment is all about supporting the uptake of ‘vertical greening’ within local communities – increasing both the opportunity for and the uptake of plant life in urban environments. The project team is developing resources and guidelines relating to the planning, designing and managing of green walls within community spaces, with information including the types of plants that work best; the green wall systems best suited to common scenarios; how to work within a DIY budget; the benefits of green walls; how to address potential barriers and more.","This Hort Frontiers Green Cities Fund investment is all about supporting the uptake of ‘vertical greening’ within local communities – increasing both the opportunity for and the uptake of plant life in urban environments. The project team is developing resources and guidelines relating to the planning, designing and managing of green walls within community spaces, with information including the types of plants that work best; the green wall systems best suited to common scenarios; how to work within a DIY budget; the benefits of green walls; how to address potential barriers and more.",0,,,1/07/2020,2020,,,,University of Technology Sydney,University of Technology Sydney,grid.117476.2,Sydney,New South Wales,Australia,Horticulture Innovation Australia,,Australia,,https://www.horticulture.com.au/growers/help-your-business-grow/research-reports-publications-fact-sheets-and-more/gc17002/,https://app.dimensions.ai/details/grant/grant.8854001,0607 Plant Biology; 06 Biological Sciences,,,,,,"C13 Architecture, Built Environment and Planning",
12,grant.9304452,GA90014,Innovation Connections,Innovation Connections,Innovation Connections promotes collaboration between small and medium sized Australian businesses and the research sector to develop new ideas with commercial potential.,Innovation Connections promotes collaboration between small and medium sized Australian businesses and the research sector to develop new ideas with commercial potential.,50000,AUD,50000,29/06/2020,2020,18/08/2021,2021,,University of Technology Sydney,University of Technology Sydney,grid.117476.2,Sydney,New South Wales,Australia,"Department of Industry, Science, Energy and Resources",,Australia,,https://www.grants.gov.au/?event=public.GA.show&GAUUID=F50B0271-9E91-77DD-AD156729A2742A1C,https://app.dimensions.ai/details/grant/grant.9304452,,,,,,,,
12,grant.9215812,GA85128,Innovation Connections,Innovation Connections,Innovation Connections promotes collaboration between small and medium sized Australian businesses and the research sector to develop new ideas with commercial potential.,Innovation Connections promotes collaboration between small and medium sized Australian businesses and the research sector to develop new ideas with commercial potential.,49875,AUD,49875,18/06/2020,2020,30/03/2021,2021,,University of Technology Sydney,University of Technology Sydney,grid.117476.2,Sydney,New South Wales,Australia,"Department of Industry, Science, Energy and Resources",,Australia,,https://www.grants.gov.au/?event=public.GA.show&GAUUID=F016640B-E6D2-B0F3-17A9F8397E7975D4,https://app.dimensions.ai/details/grant/grant.9215812,,,,,,,,
12,grant.9215775,GA85130,Innovation Connections,Innovation Connections,Innovation Connections promotes collaboration between small and medium sized Australian businesses and the research sector to develop new ideas with commercial potential.,Innovation Connections promotes collaboration between small and medium sized Australian businesses and the research sector to develop new ideas with commercial potential.,50000,AUD,50000,18/06/2020,2020,28/11/2020,2020,,University of Technology Sydney,University of Technology Sydney,grid.117476.2,Sydney,New South Wales,Australia,"Department of Industry, Science, Energy and Resources",,Australia,,https://www.grants.gov.au/?event=public.GA.show&GAUUID=F0169984-DE3D-446A-606759CDF4958A4D,https://app.dimensions.ai/details/grant/grant.9215775,,,,,,,,
10,grant.9335014,GA106357,The impact of neonatal care on long-term healthcare needs and outcomes,The impact of neonatal care on long-term healthcare needs and outcomes,This project will examine how newborn care affects healthcare needs and costs over the first five years of a child's life.,This project will examine how newborn care affects healthcare needs and costs over the first five years of a child's life.,163840,AUD,163840,1/06/2020,2020,31/05/2023,2023,,University of Technology Sydney,University of Technology Sydney,grid.117476.2,Sydney,New South Wales,Australia,Department of Health,,Australia,,https://www.grants.gov.au/?event=public.GA.show&GAUUID=2423C3D0-EDE8-54C7-E935BF575916957E,https://app.dimensions.ai/details/grant/grant.9335014,,,,,,,,3 Good Health and Well Being
6,grant.9142897,GA77624,Defining and treating the physiological effects of bushfire smoke exposure,Defining and treating the physiological effects of bushfire smoke exposure,"The physiological impacts of short and long-term inhalation of bushfire smoke (BFS) in different areas and if the effects resolve are unknown. We will define the effects (cell viability, inflammation, oxidative stress,  mucus production, respiratory tissues, lung function, gas exchange) in healthy human cells and tissues and in mouse models in vivo, and in asthma, emphysema and different age groups. We will determine safe exposures and assess the best therapies to prevent and treat the effects.","The physiological impacts of short and long-term inhalation of bushfire smoke (BFS) in different areas and if the effects resolve are unknown. We will define the effects (cell viability, inflammation, oxidative stress,  mucus production, respiratory tissues, lung function, gas exchange) in healthy human cells and tissues and in mouse models in vivo, and in asthma, emphysema and different age groups. We will determine safe exposures and assess the best therapies to prevent and treat the effects.",1087404,AUD,1087404,1/06/2020,2020,31/05/2023,2023,,University of Technology Sydney,University of Technology Sydney,grid.117476.2,Sydney,New South Wales,Australia,Department of Health,,Australia,,https://www.grants.gov.au/?event=public.GA.show&GAUUID=6F038844-BCDA-CC77-79904FA966FBFDCB,https://app.dimensions.ai/details/grant/grant.9142897,1102 Cardiorespiratory Medicine and Haematology; 11 Medical and Health Sciences,Asthma; Lung; Tobacco Smoke and Health; Tobacco; Emphysema; Chronic Obstructive Pulmonary Disease; Prevention,Respiratory,2.1 Biological and endogenous factors,Lung Cancer,2.1 Exogenous Factors in the Origin and Cause of Cancer,A01 Clinical Medicine,
